對;duey;Right
辛苦了;shin kuu .le;Thank you for the hard work
請稍等;chiing shau deeng;Please wait a second
謝謝你的關心;shieh shieh nii .de guan shin;Thank you for caring.
不好意思讓你久等了;buh hao yih .sy ranq nii jeou deeng .le;Sorry to keep you waiting
想想辦法;sheang .sheang bann faa;Think about a solution
吃飽了嗎?;chy bao .le .ma;Are you full?
對不起遲到了;duey buh chii chyr daw .le;Sorry I'm late
洗手間在哪?;shii shoou jian tzay naa;Where's the restroom?
你會說英文嗎?;nii huey shuo ing wen .ma;Do you speak English?
請多多指教;chiing duo duo jyy jiaw;Please let me know if there is anything I need to improve
這個用中文怎麼說?;jeh .ge yonq jong wen tzeen .me shuo;How do you say this in Chinese?
打擾一下;daa rao yi shiah;Can I bother you for a second?
請你幫忙一下;chiing nii bang mang yi shiah;Please give me a hand
吃飯了沒?;chy fann .le mei;Have you eaten?
請說慢一點;chiing shuo mann yih dean;Please speak slowly
我作夢也沒想到;woo tzuoh menq yee mei sheang daw;It's beyond my imagination
沒關係;mei guan .shi;It's OK
祝你各位有愉快的一天;juh nii geh wey yeou yu kuay .de yih tian;Have a nice day, everyone!
我聽不懂;woo ting buh doong;I don't understand you
我好開心;woo hao kai shin;I am very happy
我很忙;woo heen mang;I am busy
請告訴我你的電子郵件地址;chiing gaw suh woo nii .de diann tzyy you jiann dih jyy;Please tell me your email address
我很累;woo heen ley;I am very tired
太倒楣了;tay dao mei .le;It is really not my day
好無聊;hao wu liau;So boring!
我被放鴿子了;woo bey fanq ge .tzy .le;I was stood up
你休想;nii shiou sheang;No way! (you don't imagine)
您過講了;nin guoh jeang .le;I am flattered
請算便宜一點;chiing suann pyan yi yih dean;Can you make it cheaper?
氣死了;chih syy .le;I am very angry!
我喜歡你;woo shii huan nii;I like you
難怪;nan guay;No wonder! (hard to be odd)
得了吧;der .le .ba;Come on!
胡說八道;hwu shuo ba daw;Bullshit!
