台灣小吃;tair uan sheau chy;Typical Taiwanese Food
臭豆腐;chow dow fuu;stinky tofu
鴨舌;ia sher;duck tongue
蚵仔麵線;ke tzae miann shiann;oyster rice noodle soup
蚵仔煎;ke tzae jian;oyster pancake
鍋貼;guo tie;potstickers
酸辣湯;suan lah tang;sweet and sour soup
水餃;shoei jeau;dumplings
煎包;jian bau;fried buns
你有沒有吃過台灣小吃?;nii yeou mei yeou chy guoh tair uan sheau chy?;Have you tried the local food in Taiwan?
當然有;dang ran yeou;Of course I have
你最喜歡吃哪個?;nii tzuey shii huan chy naa .ge?;What is your favorite?
我最喜歡吃臭豆腐;woo tzuey shii huan chy chow dow fuu;I like stinky tofu the best.
真的?;jen .de?;Really?
你真有勇氣;nii jen yeou yeong chih;You are really brave
我都還不敢嚐試;woo dou hair buh gaan charng shyh;I don't dare to try it
你敢吃臭豆腐，那你可以算是台灣人了;nii gaan chy chow dow fuu, nah nii kee yii suann shyh tair uan ren .le;You like stinky tofu. That makes you half Taiwanese.
請說說看在台灣有名的小吃?;chiing shuo shuo kann tzay tair uan yeou ming .de sheau chy;Please tell me where I can get famous local food in Taiwan.
