浴室;yuh shyh;bathroom
鏡子;jinq .tzy;mirror
洗臉台;shii lean tair;sink
水龍頭;shoei long tour;faucet
牙刷;ya shua;toothbrush
牙膏;ya gau;toothpaste
香皂;shiang tzaw;soap
洗髮精;shii faa jing;shampoo
毛巾架;mau jin jiah;towel rack
毛巾;mau jin;towel
馬桶;maa toong;toilet
馬桶吸盤;maa toong shi parn;plunger
垃圾桶;leh seh toong;trash can
衛生紙;wey sheng jyy;toilet paper
吹風機;chuei feng ji;hair dryer
浴缸;yuh gang;bathtub
蓮蓬頭;lian perng tour;shower
牙膏快沒了;ya gau kuay mei .le;I have run out of toothpaste
明天記得買回來。;ming tian jih der mae hwei lai;Remember to buy some tomorrow
衛生紙也順便買好了;wey sheng jyy yee shuenn biann mae hao .le;In passing, buy some toilet paper too
上一次買的洗髮精很香;shanq yi tsyh mae .de shii faa jing heen shiang;The shampoo you bought last time smells good.
洗起來很舒服。;shii chii lai heen shu fwu;And it makes my hair feel nice
我們明天一起去買好了;woo .men ming tian yih chii chiuh mae hao .le;Let's go shopping together tomorrow.
我想再買其它的生活用品。;woo sheang tzay mae chyi ta .de sheng hwo yonq piin;I want to buy some other stuff as well
好啊!;hao .a;Sure!
