陽台;yang tair;balcony
洗衣機;shii i ji;washing machine
洗衣精;shii i jing;laundry detergent
洗衣籃;shii i lan;laundry basket
烘乾機;hong gan ji;clothes dryer
曬衣繩;shay i sherng;clothesline
吸塵器;shi chern chih;vacuum cleaner
衣夾;i jya;clothespin
拖把;tuo baa;mop
掃把;saw baa;broom
畚箕;been ji;dustpan
刷子;shua .tzy;brush
衣架;i jiah;clothes hanger
我最近很忙;woo tzuey jinn heen mang;I've been busy lately
明天你幫我洗衣服;ming tian nii bang woo shii i fwu;Please help me do the laundry tomorrow.
衣領幫我刷一下;i liing bang woo shua yi shiah;Scrub the collars for me.
洗衣精放在洗衣機的右邊。;shii i jing fanq tzay shii i ji .de yow bian;The laundry detergent is on the right side of the washing machine
衣夾何衣架在左邊。;i jya her i jiah tzay tzuoo bian;The clothes pins and hangers are on the left
脫水後記得拿到烘乾機烘乾。;tuo shoei how jih der na daw hong gan ji hong gan.;Remember to put them in the dryer after spin drying
