公共場所;gong gonq chaang suoo;public venues
餐廳;tsan ting;restaurant
百貨公司;bae huoh gong sy;department store
超市;chau shyh;supermarket
花店;hua diann;flower shop
咖啡廳;ka fei ting;coffee shop
銀行;yn harng;bank
醫院;i yuann;hospital
書店;shu diann;bookstore
圖書館;twu shu goan;library
郵局;you jyu;post office
警察局;jiing char jyu;police station
教堂;jiaw tarng;church
公園;gong yuan;park
藥局;yaw jyu;pharmacy
博物館;bor wuh goan;museum
電影院;diann yiing yuann;movie theater
網咖;woang ka;cyber cafe
夜市;yeh shyh;night market
星期六妳有空嗎?;shing chyi liow nii yeou konq .ma?;Are you available this coming Saturday?
我有空啊;woo yeou konq .a;Yes, I am available
你有什麼事嗎?;nii yeou sher .me shyh .ma?;Why do you ask?
有一部電影聽說很好看。;yeou yi buh diann yiing ting shuo heen hao kann;I heard there's a good movie
我想約妳一起去看電影。;woo sheang iue nii yih chii chiuh kann diann yiing;Would you like to go to a movie with me?
太好了;tay hao .le;Great
我也很想去看這部電影。;woo yee heen sheang chiuh kann jeh buh diann yiing;I would like to see that movie, too
你要去哪一家電影院呢?;nii yaw chiuh naa yih jia diann yiing yuann .ne?;Which movie theater are you going to?
我想去威秀影城;woo sheang chiuh uei shiow yiing cherng;I would like to go to Vieshow.
之後，我們再去逛百貨公司。再到附近的餐廳用餐;jy how, woo .men tzay chiuh guanq bae huoh gong sy. tzay daw fuh jinn .de tsan ting yonq tsan;After that, we'll go shopping in the department store and have dinner in the restaurant nearby.
好嗎?;hao .ma?;OK?
可是我好想逛逛台灣的夜市;kee shyh woo hao sheang guanq guanq tair uan .de yeh shyh;But I want to go shopping in a night market in Taiwan
沒問題，我帶你去士林夜市;mei wenn tyi, woo day nii chiuh shyh lin yeh shyh;No problem. I'll take you to Shilin night market.
這是台北市最大的夜市。;jeh shyh tair beei shyh tzuey dah .de yeh shyh;It's the biggest night market in Taipei.
你一定會喜歡;nii yi dinq huey shii huan;You will like it
嗯，真令人期待;en, jen linq ren chyi day;Mmm, I'm really looking forward to it.
