// AV Chinese/Book 1/Lesson 4
八[八]	ba1	NU: eight [PAVC-104]
半[半]	ban4	NU: half [PAVC-104]
杯[杯]	bei1	M: cup of [PAVC-104]
本[本]	ben3	M: volume, measure word for books, notebooks, etc. [PAVC-104]
多[多]	duo1	SV, A (QW): many, more [PAVC-104]; how SV? (often used in an exclamatory sentence indicating a high degree, "How … !" or "What a … !") [PAVC-205]
多少[多少]	duo1shao3	NU (QW), A: how much? how many? [PAVC-104]; how many, how much, more or less, somewhat [PAVC-311]
二[二]	er4	NU: two [PAVC-104]
分[分]	fen1	M: cent [PAVC-104]; points, score (at an exam, in sports and contests, etc.) [PAVC-306]
个[個]	ge5	M: used as an all-purpose measure word, especially before nouns that do not have a specific measure word of their own [PAVC-104]
给[給]	gei3	V, CV: to give [PAVC-104]; for (the benefit), to [PAVC-203] 
几[幾]	ji3	NU, QW: a few, several; how many? [PAVC-104]
九[九]	jiu3	NU: nine [PAVC-104]
块[塊]	kuai4	M: a piece of lump, measure word for money [PAVC-104]
两[兩]	liang3	NU: two [PAVC-104]
零[零]	ling2	NU: zero [PAVC-104]
零钱[零錢]	ling2qian2	N: change, coins [PAVC-104]
六[六]	liu4	NU: six [PAVC-104]
毛[毛]	mao2	M, N: dime, ten cents [PAVC-104]; fair, fur, bristles [PAVC-407]
那[那]	na4	DEM: that [PAVC-104]
那[那]	nei4	DEM: that (…i) [PAVC-104]
七[七]	qi1	NU: seven [PAVC-104]
钱[錢]	qian2	N: money [PAVC-104]; a Chinese surname [PAVC-203]
请[請]	qing3	V: to please, to invite [PAVC-104]; to hire someone to do something [PAVC-303]
三[三]	san1	NU: three [PAVC-104]
少[少]	shao3	SV: few, less [PAVC-104]
十[十]	shi2	NU: ten [PAVC-104]
四[四]	si4	NU: four [PAVC-104]
位[位]	wei4	M: polite measure word for people [PAVC-104]
五[五]	wu3	NU: five [PAVC-104]
一[一]	yi1	NU: one [PAVC-104]
一共[一共]	yi2gong4	A: in total, altogether [PAVC-104]
找[找]	zhao3	V: to return change after a purchase [PAVC-104]; V: to look for, search (also ～到) [PAVC-110]
找钱[找錢]	zhao3qian2	VO: to give change back to someone after a purchase [PAVC-104]
枝[枝]	zhi1	M: measure word for stick-like things [PAVC-104]
种[種]	zhong3	M: kind, type [PAVC-104]

// AV Chinese/Book 1/Lesson 5
爸爸[爸爸]	ba4ba5	N: father [PAVC-105]
杯子[杯子]	bei1zi5	N: cup [PAVC-105]
伯伯[伯伯]	bo2bo5	N: uncle, father's elder brother, polite title for elderly gentleman (…b…) [PAVC-105] [PAVC-411] 
的[的]	de5	P: possesive or modifying particle [PAVC-105]
弟弟[弟弟]	di4di5	N: younger brother [PAVC-105]
对[對]	dui4	SV, CV: to be correct [PAVC-105]; to, toward, for [PAVC-203]
儿[兒]	er2	BF: son [PAVC-105]
儿子[兒子]	er2zi5	N: son [PAVC-105]
儿[兒]	er5	P: a suffix, especially in Northern dialects [PAVC-105]
哥哥[哥哥]	ge1ge5	N: older brother [PAVC-105]
狗[狗]	gou3	N: dog [PAVC-105]
还是[還是]	hai2shi4	CONJ: or [PAVC-105]
孩子[孩子]	hai2zi5	N: child [PAVC-105]
