//HSK/Level 1
出租车[出租車]	chu1zu1che1
饭馆[飯館]	fan4guan3
//HSK/Level 2
右边[右邊]	you4bian5
唱歌[唱歌]	chang4ge1
左边[左邊]	zuo3bian5
手表[手錶]	shou3biao3
打篮球[打籃球]	da3lan2qiu2
报纸[報紙]	bao4zhi3
玩[玩]	wan2
着[著]	zhe5
第一[第一]	di4yi1
羊肉[羊肉]	yang2rou4
跑步[跑步]	pao3bu4
踢足球[踢足球]	ti1zu2qiu2
//HSK/Level 3
一会儿[一會兒]	yi2hui4r5
使[使]	shi3
冬[冬]	dong1
刚才[剛才]	gang1cai2
北方[北方]	bei3fang1
夏[夏]	xia4
宾馆[賓館]	bin1guan3
帽子[帽子]	mao4zi5
故事[故事]	gu4shi4
春[春]	chun1
普通话[普通話]	pu3tong1hua4
水平[水平]	shui3ping2
热情[熱情]	re4qing2
照片[照片]	zhao4pian4
照相机[照相機]	zhao4xiang4ji1
爱好[愛好]	ai4hao4
着急[著急]	zhao2ji2
秋[秋]	qiu1
空调[空調]	kong1tiao2
突然[突然]	tu1ran2
行李箱[行李箱]	xing2li5xiang1
街道[街道]	jie1dao4
表示[表示]	biao3shi4
超市[超市]	chao1shi4
越[越]	yue4
除了[除了]	chu2le5
//HSK/Level 4
不仅[不僅]	bu4jin3
个子[個子]	ge4zi5
主动[主動]	zhu3dong4
主意[主意]	zhu3yi5
之[之]	zhi1
乘坐[乘坐]	cheng2zuo4
以[以]	yi3
价格[價格]	jia4ge2
任务[任務]	ren4wu5
优点[優點]	you1dian3
优秀[優秀]	you1xiu4
传真[傳真]	chuan2zhen1
信任[信任]	xin4ren4
修[修]	xiu1
做生意[做生意]	zuo4sheng1yi4
停止[停止]	ting2zhi3
入口[入口]	ru4kou3
农村[農村]	nong2cun1
冷静[冷靜]	leng3jing4
准确[準確]	zhun3que4
减肥[減肥]	jian3fei2
出差[出差]	chu1chai1
加班[加班]	jia1ban1
区别[區別]	qu1bie2
及时[及時]	ji2shi2
友好[友好]	you3hao3
取[取]	qu3
受到[受到]	shou4dao4
台[臺]	tai2
吃惊[吃驚]	chi1jing1
合格[合格]	he2ge2
售货员[售貨員]	shou4huo4yuan2
商量[商量]	shang1liang5
回忆[回憶]	hui2yi4
困[困]	kun4
堵车[堵車]	du3che1
塑料袋[塑料袋]	su4liao4dai4
填空[填空]	tian2kong4
增长[增長]	zeng1zhang3
复印[複印]	fu4yin4
大使馆[大使館]	da4shi3guan3
大夫[大夫]	dai4fu5
奖金[獎金]	jiang3jin1
孙子[孫子]	sun1zi5
害羞[害羞]	hai4xiu1
家具[傢俱]	jia1ju4
富[富]	fu4
尝[嘗]	chang2
平时[平時]	ping2shi2
幽默[幽默]	you1mo4
弹钢琴[彈鋼琴]	tan2gang1qin2
总结[總結]	zong3jie2
成为[成為]	cheng2wei2
所有[所有]	suo3you3
打印[打印]	da3yin4
批评[批評]	pi1ping2
报道[報道]	bao4dao4
抬[擡]	tai2
招聘[招聘]	zhao1pin4
按时[按時]	an4shi2
推迟[推遲]	tui1chi2
提前[提前]	ti2qian2
收拾[收拾]	shou1shi5
放暑假[放暑假]	fang4shu3jia4
无[無]	wu2
来得及[來得及]	lai2de5ji2
极其[極其]	ji2qi2
污染[汙染]	wu1ran3
流利[流利]	liu2li4
流泪[流淚]	liu2lei4
湿润[溼潤]	shi1run4
特点[特點]	te4dian3
狮子[獅子]	shi1zi5
猴子[猴子]	hou2zi5
理发[理髮]	li3fa4
理解[理解]	li3jie3
研究生[研究生]	yan2jiu1sheng1
祝贺[祝賀]	zhu4he4
积累[積累]	ji1lei3
竟然[竟然]	jing4ran2
笔记本[筆記本]	bi3ji4ben3
组成[組成]	zu3cheng2
羽毛球[羽毛球]	yu3mao2qiu2
而[而]	er2
联系[聯繫]	lian2xi4
肯定[肯定]	ken3ding4
自然[自然]	zi4ran2
航班[航班]	hang2ban1
表格[表格]	biao3ge2
西红柿[西紅柿]	xi1hong2shi4
计划[計劃]	ji4hua4
词典[詞典]	ci2dian3
质量[質量]	zhi4liang4
重点[重點]	zhong4dian3
长江[長江]	Chang2jiang1
随着[隨著]	sui2zhe5
难受[難受]	nan2shou4
食品[食品]	shi2pin3
首都[首都]	shou3du1
//HSK/Level 5
一致[一致]	yi2zhi4
一路平安[一路平安]	yi2lu4ping2an1
一辈子[一輩子]	yi2bei4zi5
不免[不免]	bu4mian3
不安[不安]	bu4an1
不断[不斷]	bu2duan4
不然[不然]	bu4ran2
不足[不足]	bu4zu2
业余[業餘]	ye4yu2
业务[業務]	ye4wu4
丝毫[絲毫]	si1hao2
丝绸[絲綢]	si1chou2
个别[個別]	ge4bie2
中介[中介]	zhong1jie4
临时[臨時]	lin2shi2
主席[主席]	zhu3xi2
主张[主張]	zhu3zhang1
主观[主觀]	zhu3guan1
了不起[了不起]	liao3bu5qi3
争论[爭論]	zheng1lun4
事先[事先]	shi4xian1
交际[交際]	jiao1ji4
产生[產生]	chan3sheng1
亲切[親切]	qin1qie4
亲爱[親愛]	qin1ai4
人员[人員]	ren2yuan2
从此[從此]	cong2ci3
从而[從而]	cong2er2
付款[付款]	fu4kuan3
以来[以來]	yi3lai2
价值[價值]	jia4zhi2
企图[企圖]	qi3tu2
休闲[休閒]	xiu1xian2
优势[優勢]	you1shi4
优惠[優惠]	you1hui4
伙伴[夥伴]	huo3ban4
会计[會計]	kuai4ji4
传递[傳遞]	chuan2di4
伸[伸]	shen1
位置[位置]	wei4zhi5
体会[體會]	ti3hui4
体现[體現]	ti3xian4
体积[體積]	ti3ji1
作品[作品]	zuo4pin3
使劲儿[使勁兒]	shi3jin4r5
侵略[侵略]	qin1lve4
便[便]	bian4
保持[保持]	bao3chi2
信号[信號]	xin4hao4
信息[信息]	xin4xi1
修改[修改]	xiu1gai3
俱乐部[俱樂部]	ju4le4bu4
倒霉[倒黴]	dao3mei2
假如[假如]	jia3ru2
偶然[偶然]	ou3ran2
充分[充分]	chong1fen4
充满[充滿]	chong1man3
充电器[充電器]	chong1dian4qi4
光临[光臨]	guang1lin2
光明[光明]	guang1ming2
光滑[光滑]	guang1hua5
光盘[光盤]	guang1pan2
全面[全面]	quan2mian4
公元[公元]	gong1yuan2
公布[公佈]	gong1bu4
公开[公開]	gong1kai1
关怀[關懷]	guan1huai2
其余[其餘]	qi2yu2
具体[具體]	ju4ti3
内科[內科]	nei4ke1
再三[再三]	zai4san1
军事[軍事]	jun1shi4
冲[衝]	chong1
决心[決心]	jue2xin1
凭[憑]	ping2
出色[出色]	chu1se4
分布[分佈]	fen1bu4
分配[分配]	fen1pei4
切[切]	qie1
到达[到達]	dao4da2
制作[製作]	zhi4zuo4
刻苦[刻苦]	ke4ku3
动画片[動畫片]	dong4hua4pian1
劳动[勞動]	lao2dong4
劳驾[勞駕]	lao2jia4
勇气[勇氣]	yong3qi4
勤奋[勤奮]	qin2fen4
勺子[勺子]	shao2zi5
匹[匹]	pi3
升[升]	sheng1
协调[協調]	xie2tiao2
单元[單元]	dan1yuan2
单调[單調]	dan1diao4
占线[佔線]	zhan4xian4
卧室[臥室]	wo4shi4
卫生间[衛生間]	wei4sheng1jian1
卷[卷]	juan3
厘米[釐米]	li2mi3
原料[原料]	yuan2liao4
去世[去世]	qu4shi4
县[縣]	xian4
