我;woo;I
你;nii;you
您;nin;you (polite)
他;ta;he/she
我們;woo .men;we
你們;nii .men;you all
他們;ta .men;they
你好嗎?;nii hao .ma;How are you?
請問﹐您貴姓﹖;chiing wenn, nin guey shinq;Excuse me, may I have your surname?
我姓馬;woo shinq maa;My surname is Ma
你叫什麼名字﹖;nii jiaw sher .me ming .tzy?;What is your name?
我的中文名字叫馬蓋先;woo .de jong wen ming .tzy jiaw maa gay shian;My Chinese name is Ma Gaishian.
請多多指教;chiing duo duo jyy jiaw;Please let me know if there is anything I need to improve.
很高興認識你;heen gau shinq renn shyh nii;Nice to meet you
我也很高興認識你;woo yee heen gau shinq renn shyh nii;Nice to meet you, too
你在台灣過的好嗎﹖;nii tzay tair uan guoh .de hao .ma?;How have you been in Taiwan?
還可以;hair kee yii;Not bad
謝謝你的關心;shieh shieh nii .de guan shin;Thanks for your concern
跟你談話覺得很愉快;gen nii tarn huah jyue .de heen yu kuay;I'm glad to talk to you
我們改天再見面好嗎?;woo .men gae tian tzay jiann miann hao .ma;Can we change our meeting to some other day?
好的﹐再見;hao .de, tzay jiann;Sure, see you
幫忙;bang mang;help
支持;jy chyr;to support
邀請;iau chiing;to invite, invitation
招待;jau day;hospitality
練習;liann shyi;practice
