味道;wey daw;taste
酸;suan;sour
甜;tyan;sweet
苦;kuu;bitter
辣;lah;spicy
鹹;shyan;salty
這道菜味道怎麼樣?;jeh daw tsay wey daw tzeem yanq?;How does the dish taste?
很好吃。道地的原味。;heen hao chy. daw dih .de yuan wey;Very good and authentic
很可口;heen kee koou;Very delicious.
入口即化;ruh koou jyi huah;It melts in your mouth
不好吃;buh hao chy;Not good
我覺得太鹹了;woo jyue .de tay shyan .le;I think it's too salty
太油膩了;tay you nih .le; Too greasy
味道很重;wey daw heen jonq;The flavor is too strong.
我覺得味道很淡;woo jyue .de wey daw heen dann;I think it's too bland.
我不喜歡這種口味。;woo buh shii huan jeh joong koou wey;I don't like this flavor
我吃不習慣。;woo chy buh shyi guann;I am not used to it
