作者序;tzuoh jee shiuh;Preface
獻給雷恩威爾托;shiann geei lei en uei eel tuo;Dedicated to Léon Werth
我請孩子門原諒我將這本書獻給一位大人。;woo chiing hair .tzy men yuan lianq woo jiang jeh been shu shiann geei yi wey dah ren;I ask forgiveness from children for dedicating this book to an adult
我有值得原諒得重大理由，因為;woo yeou jyr .de yuan lianq .de jonq dah lii you, in wey;I have an important reason deserving forgiveness, because 
這位大人是我在這個世界上最好的朋友;jeh wey dah ren shyh woo tzay jeh .ge shyh jieh shanq tzuey hao .de perng yeou;This adult is my best friend in the whole world
另外一個值得原諒的理由是;linq way i .ge jyr .de yuan lianq .de lii you shyh;In addition, a worthwhile "excuse" (from translation in Wikipedia) is
這位大人能夠完全了解書的內容，即使我是寫給孩子看的;jeh wey dah ren neng gow wan chyuan leau jiee shu .de ney rong, jyi shyy woo shyh shiee geei hair .tzy kann .de;
我的第三個理由是;woo .de dih san .ge lii you shyh:;
這位大人在法國過著飢寒交迫的生活很需要人安慰;jeh wey dah ren tzay fah gwo guoh .je ji harn jiau poh .de sheng hwo, heen shiu yaw ren an way;
假如這些理由都不值得你們原諒，;jea ru jeh shie lii you dou buh jyr .de nii .men yuan lianq,;
我願意將這本書獻給當這位大人還沒成為大人得時候;woo yuann yih jiang jeh been shu shiann geei dang jeh wey dah ren hair mei cherng wei dah ren .de shyr how;
所有的大人都曾經是小孩--;suoo yeou .de dah ren dou tserng jing shyh sheau hair--;
但是他們大都忘了;dann shyh ta .men dah dou wanq .le;
因此我將獻言改為︰;in tsyy woo jiang shiann yan gae wei:;
獻給曾經是小孩的雷恩威爾托;shiann geei tserng jing shyh sheau hair .de lei en uei eel tuo;
