Thank you;shieh .shie;謝謝
Thank you for your help;shieh .shie nii .de bang mang;謝謝你的幫忙
Thank you for your attention;shieh .shie nii .de guan juh;謝謝你的關注
Thank you for loving me;shieh .shie nii ay woo;謝謝你愛我
Thank you for giving me the opportunity;shieh .shie nii geei woo ji huey;謝謝你給我機會
I appreciate it;woo heen gaan ji;我很感激
I'm indebted to him;woo chiann ta ren chyng;我欠他人情
I'm indebted to all of you;woo chiann nii .men chyuan buh ren .de ren chyng;我欠你們全部人的人情
Thank you very much;heen gaan shieh nii;很感謝你
Thanks a lot;fei charng gaan shieh nii;非常感謝你
I really appreciate it;woo jen .de heen gaan ji;我真的很感激
I'm deeply indebted to him;woo chiann ta yih .ge dah dah .de en chyng;我欠他一個大大的恩情
You're welcome;bwu yonq keh chih;不用客氣
My pleasure;bwu yonq keh chih;不用客氣
Thanks for taking care of me;shieh .shie nii .de guan jaw;謝謝你的關照
It's okay;mei guan .shi;沒關係
Not at all!;bwu huey .la!;不會啦﹗
No problem;mei wenn tyi;沒問題
Don't worry;bwu yonq sheang tay duo;不用想太多
It's nothing;sheau yih .sy;小意思
Forget it;bwu yonq shieh;不用謝
Don't mention it;bye jeh .me shuo;別這麼說
You keep helping me out. I appreciate it;duey yu nii i jyr yii lai .de bang mang, woo heen gaan ji;對於你一直以來的幫忙，我很感激
Thanks for being on my side;shieh .shie nii i jyr tzay woo shen bian;謝謝你一直在我身邊
Anytime;swei shyr huan yng;隨時歡迎
