交通工具;jiau tong gong jiuh;vehicles
騎;chyi;ride
摩托車;mo tuo che;motorcycle
自行車;tzyh shyng che;bicycle
開;kai;drive
汽車;chih che;car
卡車;kaa che;truck
搭;da;take
坐;tzuoh;sit
公車;gong che;bus
娃娃車;wa .ua che;school bus
火車;huoo che;train
捷運;jye yunn;MRT
地鐵;dih tiee;subway
飛機;fei ji;airplane
計程車;jih cherng che;taxi
出租車;chu tzu che;rental car
高鐵;gau tiee;high-speed rail
全票;chyuan piaw;adult ticket
半票;bann piaw;half-price ticket
單程票;dan cherng piaw;one-way
來回票;lai hwei piaw;round-trip
團體票;twan tii piaw;group ticket
台北的汽車好多喔;tair beei .de chih che hao duo .o;There are a lot of cars in Taipei!
妳敢在台北騎機車嗎?;nii gaan tzay tair beei chyi ji che ma?;Do you dare to ride a motorcycle in Taipei?
剛來台北的時候我不敢;gang lai tair beei .de shyr how woo buh gaan;I didn't dare when I first came to Taipei
不過，現在我敢在台北騎機車;bwu guoh, shiann tzay woo gaan tzay tair beei chyi ji che;But I do dare ride my motorcycle in Taipei now.
因為騎機車真的很方便。;in wey chyi ji che jen .de heen fang biann;Because riding a motorcycle is really convenient
但是要很小心;dann shyh yaw heen sheau shin;But you have to be cautious when riding one.
你都怎麼去上學?;nii dou tzeem chiuh shanq shyue?;How do yo go to school?
我搭捷運去;woo da jye yunn chiuh;I go by MRT
我覺得捷運比較方便;woo jyue .de jye yunn bii jiaw fang biann;I think taking the MRT is more convenient.
你家有幾台摩托車?;nii jia yeou jii tair mo tuo che?;How many motorcycles does your family have?
我家有三台摩托車。;woo jia yeou san tair mo tuo che;We have three motorcycles.
一台是媽媽的;yih tair shyh mha .ma .de;One is my mom's
一台是哥哥的;yih tair shyh ge .ge .de;One is my brother's
姊姊也有一台;jiee .jie yee yeou yih tair;And the other is my sister's
